296.1	0.1	100.30574700723002
298.1	0.1	100.84918332609007
298.1	2.1	100.84918332609007
300.1	0.1	101.39261964495012
300.1	2.1	101.39261964495012
300.1	4.1	101.39261964495012
302.1	0.1	101.93605596381016
302.1	2.1	101.93605596381016
302.1	4.1	101.93605596381016
302.1	6.1	101.93605596381016
304.1	0.1	102.47949228267021
304.1	2.1	102.47949228267021
304.1	4.1	102.47949228267021
304.1	6.1	102.47949228267021
304.1	8.1	102.47949228267021
306.1	0.1	103.02292860153025
306.1	2.1	103.02292860153025
306.1	4.1	103.02292860153025
306.1	6.1	103.02292860153025
306.1	8.1	103.02292860153025
306.1	10.1	103.02292860153025
308.1	0.1	103.5663649203903
308.1	2.1	103.5663649203903
308.1	4.1	103.5663649203903
308.1	6.1	103.5663649203903
308.1	8.1	103.5663649203903
308.1	10.1	103.5663649203903
308.1	12.1	103.5663649203903
310.1	0.1	104.10980123925034
310.1	2.1	104.10980123925034
310.1	4.1	104.10980123925034
310.1	6.1	104.10980123925034
310.1	8.1	104.10980123925034
310.1	10.1	104.10980123925034
310.1	12.1	104.10980123925034
310.1	14.1	104.10980123925034
312.1	0.1	104.65323755811039
312.1	2.1	104.65323755811039
312.1	4.1	104.65323755811039
312.1	6.1	104.65323755811039
312.1	8.1	104.65323755811039
312.1	10.1	104.65323755811039
312.1	12.1	104.65323755811039
312.1	14.1	104.65323755811039
312.1	16.1	104.65323755811039
314.1	0.1	105.19667387697046
314.1	2.1	105.19667387697046
314.1	4.1	105.19667387697046
314.1	6.1	105.19667387697046
314.1	8.1	105.19667387697046
314.1	10.1	105.19667387697046
314.1	12.1	105.19667387697046
314.1	14.1	105.19667387697046
314.1	16.1	105.19667387697046
314.1	18.1	105.19667387697046
316.1	0.1	105.74011019583051
316.1	2.1	105.74011019583051
316.1	4.1	105.74011019583051
316.1	6.1	105.74011019583051
316.1	8.1	105.74011019583051
316.1	10.1	105.74011019583051
316.1	12.1	105.74011019583051
316.1	14.1	105.74011019583051
316.1	16.1	105.74011019583051
316.1	18.1	105.74011019583051
316.1	20.1	105.74011019583051
318.1	0.1	106.28354651469056
318.1	2.1	106.28354651469056
318.1	4.1	106.28354651469056
318.1	6.1	106.28354651469056
318.1	8.1	106.28354651469056
318.1	10.1	106.28354651469056
318.1	12.1	106.28354651469056
318.1	14.1	106.28354651469056
318.1	16.1	106.28354651469056
318.1	18.1	106.28354651469056
318.1	20.1	106.28354651469056
318.1	22.1	106.28354651469056
318.1	24.1	106.28354651469056
320.1	0.1	106.8269828335506
320.1	2.1	106.8269828335506
320.1	4.1	106.8269828335506
320.1	6.1	106.8269828335506
320.1	8.1	106.8269828335506
320.1	10.1	106.8269828335506
320.1	12.1	106.8269828335506
320.1	14.1	106.8269828335506
320.1	16.1	106.8269828335506
320.1	18.1	106.8269828335506
320.1	20.1	106.8269828335506
320.1	22.1	106.8269828335506
320.1	24.1	106.8269828335506
320.1	26.1	106.8269828335506
322.1	0.1	107.37041915241065
322.1	2.1	107.37041915241065
322.1	4.1	107.37041915241065
322.1	6.1	107.37041915241065
322.1	8.1	107.37041915241065
322.1	10.1	107.37041915241065
322.1	12.1	107.37041915241065
322.1	14.1	107.37041915241065
322.1	16.1	107.37041915241065
322.1	18.1	107.37041915241065
322.1	20.1	107.37041915241065
322.1	22.1	107.37041915241065
322.1	24.1	107.37041915241065
322.1	26.1	107.37041915241065
322.1	28.1	107.37041915241065
324.1	0.1	107.9138554712707
324.1	2.1	107.9138554712707
324.1	4.1	107.9138554712707
324.1	6.1	107.9138554712707
324.1	8.1	107.9138554712707
324.1	10.1	107.9138554712707
324.1	12.1	107.9138554712707
324.1	14.1	107.9138554712707
324.1	16.1	107.9138554712707
324.1	18.1	107.9138554712707
324.1	20.1	107.9138554712707
324.1	22.1	107.9138554712707
324.1	24.1	107.9138554712707
324.1	26.1	107.9138554712707
324.1	28.1	107.9138554712707
324.1	30.1	107.9138554712707
326.1	0.1	108.45729179013074
326.1	2.1	108.45729179013074
326.1	4.1	108.45729179013074
326.1	6.1	108.45729179013074
326.1	8.1	108.45729179013074
326.1	10.1	108.45729179013074
326.1	12.1	108.45729179013074
326.1	14.1	108.45729179013074
326.1	16.1	108.45729179013074
326.1	18.1	108.45729179013074
326.1	20.1	108.45729179013074
326.1	22.1	108.45729179013074
326.1	24.1	108.45729179013074
326.1	26.1	108.45729179013074
326.1	28.1	108.45729179013074
326.1	30.1	108.45729179013074
326.1	32.1	108.45729179013074
328.1	0.1	109.00072810899078
328.1	2.1	109.00072810899078
328.1	4.1	109.00072810899078
328.1	6.1	109.00072810899078
328.1	8.1	109.00072810899078
328.1	10.1	109.00072810899078
328.1	12.1	109.00072810899078
328.1	14.1	109.00072810899078
328.1	16.1	109.00072810899078
328.1	18.1	109.00072810899078
328.1	20.1	109.00072810899078
328.1	22.1	109.00072810899078
328.1	24.1	109.00072810899078
328.1	26.1	109.00072810899078
328.1	28.1	109.00072810899078
328.1	30.1	109.00072810899078
328.1	32.1	109.00072810899078
328.1	34.1	109.00072810899078
330.1	0.1	109.54416442785083
330.1	2.1	109.54416442785083
330.1	4.1	109.54416442785083
330.1	6.1	109.54416442785083
330.1	8.1	109.54416442785083
330.1	10.1	109.54416442785083
330.1	12.1	109.54416442785083
330.1	14.1	109.54416442785083
330.1	16.1	109.54416442785083
330.1	18.1	109.54416442785083
330.1	20.1	109.54416442785083
330.1	22.1	109.54416442785083
330.1	24.1	109.54416442785083
330.1	26.1	109.54416442785083
330.1	28.1	109.54416442785083
330.1	30.1	109.54416442785083
